Exposure_ID,Customer_ID,Campaign_ID,Campaign_Exposure,Campaign_Response
EXP00114,CUST00114,C003,No,Positive
EXP00115,CUST00115,C003,Yes,Positive
EXP00116,CUST00116,C005,No,Negative
EXP00117,CUST00117,C002,No,Negative
EXP00118,CUST00118,C005,Yes,Neutral
EXP00119,CUST00119,C003,Yes,Positive
EXP00120,CUST00120,C004,Yes,Neutral
EXP00121,CUST00121,C003,Yes,Positive
EXP00122,CUST00122,C004,No,Neutral
EXP00123,CUST00123,C003,No,Neutral
EXP00124,CUST00124,C003,Yes,Positive
EXP00125,CUST00125,C003,Yes,Positive
EXP00126,CUST00126,C003,Yes,Positive
EXP00127,CUST00127,C004,Yes,Positive
EXP00128,CUST00128,C004,No,Negative
EXP00129,CUST00129,C005,No,Neutral
EXP00130,CUST00130,C003,Yes,Neutral
EXP00131,CUST00131,C002,No,Neutral
EXP00132,CUST00132,C001,Yes,Positive
EXP00133,CUST00133,C005,No,Negative
EXP00134,CUST00134,C004,Yes,Positive
EXP00135,CUST00135,C005,Yes,Neutral
EXP00136,CUST00136,C001,Yes,Neutral
EXP00137,CUST00137,C001,No,Positive
EXP00138,CUST00138,C002,Yes,Positive
EXP00139,CUST00139,C005,Yes,Positive
EXP00140,CUST00140,C004,Yes,Positive
EXP00141,CUST00141,C005,Yes,Positive
EXP00142,CUST00142,C002,Yes,Neutral
EXP00143,CUST00143,C001,Yes,Neutral
EXP00144,CUST00144,C003,Yes,Negative
EXP00145,CUST00145,C004,No,Negative
EXP00146,CUST00146,C001,Yes,Positive
EXP00147,CUST00147,C002,No,Negative
EXP00148,CUST00148,C002,Yes,Neutral
EXP00149,CUST00149,C002,Yes,Neutral
EXP00150,CUST00150,C002,Yes,Positive
EXP00151,CUST00151,C002,Yes,Neutral
EXP00152,CUST00152,C004,No,Neutral
EXP00153,CUST00153,C003,No,Neutral
EXP00154,CUST00154,C002,Yes,Positive
EXP00155,CUST00155,C002,Yes,Neutral
EXP00156,CUST00156,C005,Yes,Neutral
EXP00157,CUST00157,C001,No,Positive
EXP00158,CUST00158,C005,Yes,Negative
EXP00159,CUST00159,C005,No,Neutral
EXP00160,CUST00160,C004,Yes,Neutral
EXP00161,CUST00161,C002,Yes,Neutral
EXP00162,CUST00162,C001,Yes,Positive
EXP00163,CUST00163,C002,No,Neutral
EXP00164,CUST00164,C005,Yes,Positive
EXP00165,CUST00165,C002,Yes,Positive
EXP00166,CUST00166,C003,Yes,Negative
EXP00167,CUST00167,C001,No,Neutral
EXP00168,CUST00168,C001,Yes,Negative
EXP00169,CUST00169,C002,Yes,Neutral
EXP00170,CUST00170,C002,No,Neutral
EXP00171,CUST00171,C003,Yes,Positive
EXP00172,CUST00172,C005,Yes,Positive
EXP00173,CUST00173,C002,Yes,Positive
EXP00174,CUST00174,C004,Yes,Neutral
EXP00175,CUST00175,C003,Yes,Positive
EXP00176,CUST00176,C001,Yes,Neutral
EXP00177,CUST00177,C003,Yes,Neutral
EXP00178,CUST00178,C005,Yes,Neutral
EXP00179,CUST00179,C001,Yes,Neutral
EXP00180,CUST00180,C002,Yes,Positive
EXP00181,CUST00181,C001,Yes,Positive
EXP00182,CUST00182,C003,No,Neutral
EXP00183,CUST00183,C004,No,Negative
EXP00184,CUST00184,C005,Yes,Positive
EXP00185,CUST00185,C003,Yes,Neutral
EXP00186,CUST00186,C002,Yes,Negative
EXP00187,CUST00187,C003,No,Negative
EXP00188,CUST00188,C001,Yes,Positive
EXP00189,CUST00189,C001,Yes,Positive
EXP00190,CUST00190,C003,No,Neutral
EXP00191,CUST00191,C004,Yes,Neutral
EXP00192,CUST00192,C001,No,Neutral
EXP00193,CUST00193,C005,No,Neutral
EXP00194,CUST00194,C002,Yes,Neutral
EXP00195,CUST00195,C002,Yes,Positive
EXP00196,CUST00196,C005,Yes,Neutral
EXP00197,CUST00197,C004,No,Negative
EXP00198,CUST00198,C003,Yes,Positive
EXP00199,CUST00199,C002,No,Neutral
EXP00200,CUST00200,C005,No,Positive
EXP00201,CUST00201,C005,Yes,Positive
EXP00202,CUST00202,C005,Yes,Positive
EXP00203,CUST00203,C004,No,Neutral
EXP00204,CUST00204,C005,Yes,Positive
EXP00205,CUST00205,C004,Yes,Negative
EXP00206,CUST00206,C005,Yes,Positive
EXP00207,CUST00207,C002,No,Neutral
EXP00208,CUST00208,C001,No,Neutral
EXP00209,CUST00209,C005,No,Neutral
EXP00210,CUST00210,C005,No,Neutral
EXP00211,CUST00211,C002,Yes,Positive
EXP00212,CUST00212,C004,Yes,Positive
EXP00213,CUST00213,C001,Yes,Negative
EXP00214,CUST00214,C005,Yes,Neutral
EXP00215,CUST00215,C002,No,Positive
EXP00216,CUST00216,C004,No,Neutral
EXP00217,CUST00217,C005,Yes,Positive
EXP00218,CUST00218,C004,Yes,Negative
EXP00219,CUST00219,C002,Yes,Neutral
EXP00220,CUST00220,C001,Yes,Neutral
EXP00221,CUST00221,C002,Yes,Neutral
EXP00222,CUST00222,C004,No,Neutral
EXP00223,CUST00223,C005,Yes,Positive
EXP00224,CUST00224,C002,Yes,Negative
EXP00225,CUST00225,C004,Yes,Neutral
EXP00226,CUST00226,C002,No,Neutral
EXP00227,CUST00227,C002,No,Neutral
EXP00228,CUST00228,C003,Yes,Positive
EXP00229,CUST00229,C003,Yes,Neutral
EXP00230,CUST00230,C003,No,Positive
EXP00231,CUST00231,C003,Yes,Negative
EXP00232,CUST00232,C002,No,Positive
EXP00233,CUST00233,C004,Yes,Neutral
EXP00234,CUST00234,C001,No,Negative
EXP00235,CUST00235,C002,No,Positive
EXP00236,CUST00236,C005,No,Negative
EXP00237,CUST00237,C004,Yes,Positive
EXP00238,CUST00238,C003,Yes,Positive
EXP00239,CUST00239,C004,Yes,Positive
EXP00240,CUST00240,C003,Yes,Neutral
EXP00241,CUST00241,C003,Yes,Positive
EXP00242,CUST00242,C003,Yes,Positive
EXP00243,CUST00243,C002,No,Negative
EXP00244,CUST00244,C005,No,Neutral
EXP00245,CUST00245,C003,Yes,Positive
EXP00246,CUST00246,C003,Yes,Positive
EXP00247,CUST00247,C004,Yes,Positive
EXP00248,CUST00248,C003,Yes,Positive
EXP00249,CUST00249,C004,Yes,Positive
EXP00250,CUST00250,C004,Yes,Positive
EXP00251,CUST00251,C005,Yes,Neutral
EXP00252,CUST00252,C002,Yes,Negative
EXP00253,CUST00253,C002,No,Negative
EXP00254,CUST00254,C003,No,Neutral
EXP00255,CUST00255,C004,No,Neutral
EXP00256,CUST00256,C003,Yes,Positive
EXP00257,CUST00257,C005,No,Neutral
EXP00258,CUST00258,C004,Yes,Neutral
EXP00259,CUST00259,C002,No,Neutral
EXP00260,CUST00260,C005,Yes,Positive
EXP00261,CUST00261,C002,Yes,Positive
EXP00262,CUST00262,C002,Yes,Positive
EXP00263,CUST00263,C003,No,Negative
EXP00264,CUST00264,C002,Yes,Positive
EXP00265,CUST00265,C002,Yes,Negative
EXP00266,CUST00266,C002,No,Neutral
EXP00267,CUST00267,C001,Yes,Neutral
EXP00268,CUST00268,C004,No,Neutral
EXP00269,CUST00269,C003,Yes,Positive
EXP00270,CUST00270,C001,No,Neutral
EXP00271,CUST00271,C001,Yes,Neutral
EXP00272,CUST00272,C005,Yes,Neutral
EXP00273,CUST00273,C002,No,Neutral
EXP00274,CUST00274,C005,Yes,Positive
EXP00275,CUST00275,C002,Yes,Positive
EXP00276,CUST00276,C002,Yes,Positive
EXP00277,CUST00277,C005,No,Negative
EXP00278,CUST00278,C004,Yes,Neutral
EXP00279,CUST00279,C004,No,Negative
EXP00280,CUST00280,C003,Yes,Positive
EXP00281,CUST00281,C004,No,Neutral
EXP00282,CUST00282,C002,No,Neutral
EXP00283,CUST00283,C002,No,Neutral
EXP00284,CUST00284,C003,No,Neutral
EXP00285,CUST00285,C002,No,Neutral
EXP00286,CUST00286,C004,Yes,Negative
EXP00287,CUST00287,C004,Yes,Positive
EXP00288,CUST00288,C002,No,Neutral
EXP00289,CUST00289,C001,Yes,Positive
EXP00290,CUST00290,C003,Yes,Negative
EXP00291,CUST00291,C004,Yes,Negative
EXP00292,CUST00292,C005,Yes,Positive
EXP00293,CUST00293,C002,No,Positive
EXP00294,CUST00294,C003,Yes,Positive
EXP00295,CUST00295,C001,No,Positive
EXP00296,CUST00296,C005,No,Neutral
EXP00297,CUST00297,C001,No,Positive
EXP00298,CUST00298,C001,Yes,Positive
EXP00299,CUST00299,C003,Yes,Positive
EXP00300,CUST00300,C003,No,Neutral
EXP00301,CUST00301,C002,No,Positive
EXP00302,CUST00302,C004,Yes,Positive
EXP00303,CUST00303,C002,Yes,Negative
EXP00304,CUST00304,C005,Yes,Positive
EXP00305,CUST00305,C002,Yes,Positive
EXP00306,CUST00306,C001,Yes,Neutral
EXP00307,CUST00307,C001,Yes,Neutral
EXP00308,CUST00308,C002,Yes,Neutral
EXP00309,CUST00309,C005,No,Neutral
EXP00310,CUST00310,C002,Yes,Positive
EXP00311,CUST00311,C002,Yes,Negative
EXP00312,CUST00312,C005,Yes,Negative
EXP00313,CUST00313,C003,Yes,Positive
EXP00314,CUST00314,C005,No,Negative
EXP00315,CUST00315,C004,No,Negative
EXP00316,CUST00316,C005,No,Neutral
EXP00317,CUST00317,C004,Yes,Positive
EXP00318,CUST00318,C003,No,Positive
EXP00319,CUST00319,C005,No,Neutral
EXP00320,CUST00320,C004,Yes,Negative
EXP00321,CUST00321,C001,Yes,Negative
EXP00322,CUST00322,C005,No,Negative
EXP00323,CUST00323,C002,No,Neutral
EXP00324,CUST00324,C001,Yes,Positive
EXP00325,CUST00325,C003,Yes,Positive
EXP00326,CUST00326,C001,No,Neutral
EXP00327,CUST00327,C003,Yes,Neutral
EXP00328,CUST00328,C004,Yes,Negative
EXP00329,CUST00329,C003,Yes,Negative
EXP00330,CUST00330,C002,Yes,Positive
EXP00331,CUST00331,C004,Yes,Negative
EXP00332,CUST00332,C001,No,Positive
EXP00333,CUST00333,C002,Yes,Positive
EXP00334,CUST00334,C001,Yes,Negative
EXP00335,CUST00335,C001,Yes,Neutral
EXP00336,CUST00336,C001,No,Neutral
EXP00337,CUST00337,C005,Yes,Neutral
EXP00338,CUST00338,C005,Yes,Neutral
EXP00339,CUST00339,C002,Yes,Positive
EXP00340,CUST00340,C005,No,Neutral
EXP00341,CUST00341,C003,No,Negative
EXP00342,CUST00342,C002,Yes,Neutral
EXP00343,CUST00343,C003,No,Positive
EXP00344,CUST00344,C001,Yes,Positive
EXP00345,CUST00345,C002,Yes,Positive
EXP00346,CUST00346,C003,Yes,Neutral
EXP00347,CUST00347,C003,Yes,Negative
EXP00348,CUST00348,C004,Yes,Neutral
EXP00349,CUST00349,C002,Yes,Neutral
EXP00350,CUST00350,C002,Yes,Positive
EXP00351,CUST00351,C004,Yes,Neutral
EXP00352,CUST00352,C004,No,Neutral
EXP00353,CUST00353,C003,Yes,Positive
EXP00354,CUST00354,C004,No,Positive
EXP00355,CUST00355,C004,Yes,Neutral
EXP00356,CUST00356,C001,Yes,Neutral
EXP00357,CUST00357,C004,Yes,Positive
EXP00358,CUST00358,C005,No,Positive
EXP00359,CUST00359,C004,Yes,Positive
EXP00360,CUST00360,C004,No,Negative
EXP00361,CUST00361,C003,Yes,Neutral
EXP00362,CUST00362,C005,No,Neutral
EXP00363,CUST00363,C002,Yes,Neutral
EXP00364,CUST00364,C003,Yes,Positive
EXP00365,CUST00365,C002,Yes,Negative
EXP00366,CUST00366,C001,Yes,Positive
EXP00367,CUST00367,C001,Yes,Negative
EXP00368,CUST00368,C005,No,Positive
EXP00369,CUST00369,C004,Yes,Negative
EXP00370,CUST00370,C004,No,Negative
EXP00371,CUST00371,C002,No,Neutral
EXP00372,CUST00372,C001,Yes,Positive
EXP00373,CUST00373,C004,Yes,Positive
EXP00374,CUST00374,C002,Yes,Neutral
EXP00375,CUST00375,C005,No,Negative
EXP00376,CUST00376,C002,Yes,Positive
EXP00377,CUST00377,C003,No,Negative
EXP00378,CUST00378,C002,Yes,Negative
EXP00379,CUST00379,C001,Yes,Positive
EXP00380,CUST00380,C001,Yes,Neutral
EXP00381,CUST00381,C002,Yes,Neutral
EXP00382,CUST00382,C002,Yes,Positive
EXP00383,CUST00383,C001,No,Neutral
EXP00384,CUST00384,C004,Yes,Negative
EXP00385,CUST00385,C003,Yes,Positive
EXP00386,CUST00386,C001,Yes,Neutral
EXP00387,CUST00387,C005,Yes,Positive
EXP00388,CUST00388,C005,Yes,Neutral
EXP00389,CUST00389,C005,Yes,Positive
EXP00390,CUST00390,C004,Yes,Neutral
EXP00391,CUST00391,C001,No,Negative
EXP00392,CUST00392,C004,No,Neutral
EXP00393,CUST00393,C002,No,Neutral
EXP00394,CUST00394,C002,No,Negative
EXP00395,CUST00395,C005,Yes,Neutral
EXP00396,CUST00396,C004,Yes,Positive
EXP00397,CUST00397,C005,No,Neutral
EXP00398,CUST00398,C003,No,Positive
EXP00399,CUST00399,C003,Yes,Neutral
EXP00400,CUST00400,C003,Yes,Positive
EXP00401,CUST00401,C003,No,Neutral
EXP00402,CUST00402,C002,Yes,Neutral
EXP00403,CUST00403,C004,Yes,Positive
EXP00404,CUST00404,C002,No,Negative
EXP00405,CUST00405,C004,Yes,Positive
EXP00406,CUST00406,C003,Yes,Positive
EXP00407,CUST00407,C004,No,Neutral
EXP00408,CUST00408,C003,Yes,Neutral
EXP00409,CUST00409,C004,Yes,Positive
EXP00410,CUST00410,C005,Yes,Positive
EXP00411,CUST00411,C003,Yes,Neutral
EXP00412,CUST00412,C001,Yes,Neutral
EXP00413,CUST00413,C003,Yes,Positive
EXP00414,CUST00414,C001,No,Negative
EXP00415,CUST00415,C004,Yes,Positive
EXP00416,CUST00416,C004,Yes,Positive
EXP00417,CUST00417,C001,No,Neutral
EXP00418,CUST00418,C003,No,Positive
EXP00419,CUST00419,C003,Yes,Neutral
EXP00420,CUST00420,C002,Yes,Negative
EXP00421,CUST00421,C003,Yes,Neutral
EXP00422,CUST00422,C004,Yes,Positive
EXP00423,CUST00423,C003,Yes,Positive
EXP00424,CUST00424,C002,Yes,Negative
EXP00425,CUST00425,C001,No,Neutral
EXP00426,CUST00426,C005,No,Negative
EXP00427,CUST00427,C002,Yes,Positive
EXP00428,CUST00428,C001,Yes,Neutral
EXP00429,CUST00429,C002,No,Neutral
EXP00430,CUST00430,C003,Yes,Positive
EXP00431,CUST00431,C003,Yes,Positive
EXP00432,CUST00432,C003,No,Neutral
EXP00433,CUST00433,C002,No,Neutral
EXP00434,CUST00434,C003,Yes,Negative
EXP00435,CUST00435,C003,Yes,Positive
EXP00436,CUST00436,C005,Yes,Positive
EXP00437,CUST00437,C002,No,Neutral
EXP00438,CUST00438,C003,Yes,Neutral
EXP00439,CUST00439,C001,Yes,Positive
EXP00440,CUST00440,C005,Yes,Negative
EXP00441,CUST00441,C003,No,Negative
EXP00442,CUST00442,C005,No,Neutral
EXP00443,CUST00443,C003,No,Negative
EXP00444,CUST00444,C002,No,Negative
EXP00445,CUST00445,C005,Yes,Neutral
EXP00446,CUST00446,C002,No,Negative
EXP00447,CUST00447,C004,Yes,Positive
EXP00448,CUST00448,C004,Yes,Positive
EXP00449,CUST00449,C001,Yes,Neutral
EXP00450,CUST00450,C005,Yes,Positive
EXP00451,CUST00451,C003,Yes,Positive
EXP00452,CUST00452,C003,No,Positive
EXP00453,CUST00453,C002,Yes,Positive
EXP00454,CUST00454,C001,Yes,Neutral
EXP00455,CUST00455,C005,No,Negative
EXP00456,CUST00456,C003,Yes,Neutral
EXP00457,CUST00457,C004,Yes,Neutral
EXP00458,CUST00458,C004,Yes,Positive
EXP00459,CUST00459,C001,Yes,Neutral
EXP00460,CUST00460,C005,Yes,Neutral
EXP00461,CUST00461,C003,Yes,Negative
EXP00462,CUST00462,C005,Yes,Positive
EXP00463,CUST00463,C001,Yes,Neutral
EXP00464,CUST00464,C005,Yes,Neutral
EXP00465,CUST00465,C001,Yes,Positive
EXP00466,CUST00466,C001,Yes,Neutral
EXP00467,CUST00467,C001,Yes,Positive
EXP00468,CUST00468,C001,Yes,Neutral
EXP00469,CUST00469,C004,Yes,Negative
EXP00470,CUST00470,C002,Yes,Neutral
EXP00471,CUST00471,C001,No,Negative
EXP00472,CUST00472,C004,No,Neutral
EXP00473,CUST00473,C003,No,Negative
EXP00474,CUST00474,C001,Yes,Positive
EXP00475,CUST00475,C004,Yes,Neutral
EXP00476,CUST00476,C004,Yes,Positive
EXP00477,CUST00477,C004,Yes,Positive
EXP00478,CUST00478,C002,Yes,Neutral
EXP00479,CUST00479,C001,Yes,Neutral
EXP00480,CUST00480,C003,Yes,Positive
EXP00481,CUST00481,C004,Yes,Positive
EXP00482,CUST00482,C004,Yes,Neutral
EXP00483,CUST00483,C004,No,Neutral
EXP00484,CUST00484,C005,No,Negative
EXP00485,CUST00485,C005,Yes,Neutral
EXP00486,CUST00486,C005,No,Neutral
EXP00487,CUST00487,C002,Yes,Positive
EXP00488,CUST00488,C001,No,Neutral
EXP00489,CUST00489,C005,Yes,Neutral
EXP00490,CUST00490,C002,No,Neutral
EXP00491,CUST00491,C005,No,Negative
EXP00492,CUST00492,C001,Yes,Positive
EXP00493,CUST00493,C005,Yes,Positive
EXP00494,CUST00494,C003,Yes,Neutral
EXP00495,CUST00495,C003,Yes,Neutral
EXP00496,CUST00496,C002,Yes,Positive
EXP00497,CUST00497,C004,No,Neutral
EXP00498,CUST00498,C005,Yes,Neutral
EXP00499,CUST00499,C001,No,Neutral
EXP00500,CUST00500,C001,No,Neutral
EXP00501,CUST00501,C005,Yes,Positive
EXP00502,CUST00502,C001,Yes,Neutral
EXP00503,CUST00503,C002,Yes,Positive
EXP00504,CUST00504,C005,Yes,Positive
EXP00505,CUST00505,C004,Yes,Negative
EXP00506,CUST00506,C005,Yes,Neutral
EXP00507,CUST00507,C001,Yes,Positive
EXP00508,CUST00508,C003,Yes,Neutral
EXP00509,CUST00509,C004,Yes,Neutral
EXP00510,CUST00510,C004,Yes,Positive
EXP00511,CUST00511,C005,Yes,Negative
EXP00512,CUST00512,C002,Yes,Positive
EXP00513,CUST00513,C003,No,Neutral
EXP00514,CUST00514,C003,No,Negative
EXP00515,CUST00515,C002,Yes,Negative
EXP00516,CUST00516,C004,Yes,Positive
EXP00517,CUST00517,C003,Yes,Positive
EXP00518,CUST00518,C005,Yes,Neutral
EXP00519,CUST00519,C002,Yes,Negative
EXP00520,CUST00520,C002,No,Negative
EXP00521,CUST00521,C001,Yes,Positive
EXP00522,CUST00522,C004,Yes,Positive
EXP00523,CUST00523,C004,Yes,Positive
EXP00524,CUST00524,C003,Yes,Positive
EXP00525,CUST00525,C004,Yes,Positive
EXP00526,CUST00526,C001,No,Negative
EXP00527,CUST00527,C003,Yes,Positive
EXP00528,CUST00528,C001,Yes,Positive
EXP00529,CUST00529,C005,Yes,Positive
EXP00530,CUST00530,C002,Yes,Positive
EXP00531,CUST00531,C005,Yes,Positive
EXP00532,CUST00532,C002,No,Neutral
EXP00533,CUST00533,C004,Yes,Negative
EXP00534,CUST00534,C003,No,Neutral
EXP00535,CUST00535,C003,No,Neutral
EXP00536,CUST00536,C005,Yes,Positive
EXP00537,CUST00537,C004,Yes,Positive
EXP00538,CUST00538,C003,No,Neutral
EXP00539,CUST00539,C001,Yes,Positive
EXP00540,CUST00540,C003,No,Neutral
EXP00541,CUST00541,C005,No,Negative
EXP00542,CUST00542,C005,Yes,Negative
EXP00543,CUST00543,C004,Yes,Neutral
EXP00544,CUST00544,C005,Yes,Neutral
EXP00545,CUST00545,C005,Yes,Positive
EXP00546,CUST00546,C001,Yes,Neutral
EXP00547,CUST00547,C003,Yes,Negative
EXP00548,CUST00548,C001,Yes,Positive
EXP00549,CUST00549,C003,No,Positive
EXP00550,CUST00550,C003,No,Neutral
EXP00551,CUST00551,C002,No,Neutral
EXP00552,CUST00552,C001,Yes,Neutral
EXP00553,CUST00553,C001,Yes,Neutral
EXP00554,CUST00554,C002,Yes,Neutral
EXP00555,CUST00555,C002,Yes,Positive
EXP00556,CUST00556,C005,Yes,Negative
EXP00557,CUST00557,C002,Yes,Positive
EXP00558,CUST00558,C004,Yes,Positive
EXP00559,CUST00559,C004,No,Negative
EXP00560,CUST00560,C003,Yes,Neutral
EXP00561,CUST00561,C005,Yes,Positive
EXP00562,CUST00562,C005,Yes,Positive
EXP00563,CUST00563,C003,No,Neutral
EXP00564,CUST00564,C003,No,Positive
EXP00565,CUST00565,C001,No,Negative
EXP00566,CUST00566,C001,Yes,Negative
EXP00567,CUST00567,C005,No,Neutral
EXP00568,CUST00568,C004,Yes,Neutral
EXP00569,CUST00569,C004,Yes,Positive
EXP00570,CUST00570,C005,No,Negative
EXP00571,CUST00571,C004,No,Neutral
EXP00572,CUST00572,C003,Yes,Neutral
EXP00573,CUST00573,C005,Yes,Positive
EXP00574,CUST00574,C002,No,Neutral
EXP00575,CUST00575,C004,No,Positive
EXP00576,CUST00576,C003,Yes,Positive
EXP00577,CUST00577,C001,No,Neutral
EXP00578,CUST00578,C003,No,Negative
EXP00579,CUST00579,C001,No,Neutral
EXP00580,CUST00580,C003,Yes,Positive
EXP00581,CUST00581,C003,Yes,Positive
EXP00582,CUST00582,C001,Yes,Negative
EXP00583,CUST00583,C005,No,Negative
EXP00584,CUST00584,C005,Yes,Negative
EXP00585,CUST00585,C002,No,Neutral
EXP00586,CUST00586,C003,No,Neutral
EXP00587,CUST00587,C001,Yes,Positive
EXP00588,CUST00588,C003,Yes,Positive
EXP00589,CUST00589,C001,Yes,Neutral
EXP00590,CUST00590,C005,Yes,Positive
EXP00591,CUST00591,C005,No,Positive
EXP00592,CUST00592,C002,No,Negative
EXP00593,CUST00593,C004,No,Negative
EXP00594,CUST00594,C003,Yes,Positive
EXP00595,CUST00595,C003,Yes,Positive
EXP00596,CUST00596,C001,Yes,Neutral
EXP00597,CUST00597,C003,No,Neutral
EXP00598,CUST00598,C005,Yes,Positive
EXP00599,CUST00599,C001,Yes,Positive
EXP00600,CUST00600,C005,Yes,Positive
EXP00601,CUST00601,C001,Yes,Neutral
EXP00602,CUST00602,C001,No,Negative
EXP00603,CUST00603,C002,Yes,Positive
EXP00604,CUST00604,C001,Yes,Neutral
EXP00605,CUST00605,C005,No,Neutral
EXP00606,CUST00606,C002,Yes,Positive
EXP00607,CUST00607,C004,Yes,Positive
EXP00608,CUST00608,C003,Yes,Negative
EXP00609,CUST00609,C003,Yes,Neutral
EXP00610,CUST00610,C003,Yes,Positive
EXP00611,CUST00611,C001,Yes,Neutral
EXP00612,CUST00612,C004,Yes,Positive
