Survey_ID,Customer_ID,Survey_Date,Brand_Awareness,Brand_Recall,Brand_Preference,Product_Quality,Service_Quality,Value_for_Money,Customer_Satisfaction,Recommend_Brand,Purchase_Intent
SURV00057,CUST00057,2025-10-17,Yes,NovaMart,ShopEase,3,3,3,3,5,Medium
SURV00058,CUST00058,2025-04-18,No,NovaMart,MegaMart,3,2,2,2,4,Low
SURV00059,CUST00059,2025-01-03,Yes,MegaMart,NovaMart,3,3,3,3,7,Medium
SURV00060,CUST00060,2025-04-25,Yes,ShopEase,MegaMart,3,3,2,3,7,Medium
SURV00061,CUST00061,2025-12-13,No,NovaMart,UrbanCart,2,3,1,2,4,Low
SURV00062,CUST00062,2025-07-31,Yes,NovaMart,ValueHub,2,2,2,2,5,Low
SURV00063,CUST00063,2025-06-24,Yes,UrbanCart,ShopEase,4,5,3,4,8,High
SURV00064,CUST00064,2025-01-29,Yes,ShopEase,ShopEase,2,2,5,3,5,Medium
SURV00065,CUST00065,2025-11-17,Yes,ValueHub,NovaMart,3,2,1,2,5,Low
SURV00066,CUST00066,2025-10-15,Yes,MegaMart,UrbanCart,5,4,4,4,9,High
SURV00067,CUST00067,2025-05-07,Yes,NovaMart,ValueHub,3,3,1,2,3,Low
SURV00068,CUST00068,2025-04-29,Yes,ValueHub,ShopEase,4,4,3,4,8,High
SURV00069,CUST00069,2025-05-22,Yes,MegaMart,NovaMart,5,5,3,4,7,High
SURV00070,CUST00070,2025-04-20,Yes,UrbanCart,MegaMart,3,1,1,2,4,Low
SURV00071,CUST00071,2025-02-17,Yes,MegaMart,MegaMart,3,4,3,3,6,Medium
SURV00072,CUST00072,2025-07-28,No,ValueHub,MegaMart,3,2,2,2,3,Low
SURV00073,CUST00073,2025-10-02,Yes,UrbanCart,ValueHub,2,2,3,2,5,Low
SURV00074,CUST00074,2025-10-10,Yes,ValueHub,ValueHub,4,4,3,4,9,High
SURV00075,CUST00075,2025-07-01,Yes,ValueHub,MegaMart,3,4,3,3,7,Medium
SURV00076,CUST00076,2025-10-30,Yes,ValueHub,ShopEase,2,1,1,1,1,Very Low
SURV00077,CUST00077,2025-05-04,Yes,MegaMart,NovaMart,5,3,3,4,9,High
SURV00078,CUST00078,2025-12-06,Yes,ValueHub,ValueHub,3,5,4,4,7,High
SURV00079,CUST00079,2025-05-14,Yes,MegaMart,ShopEase,3,3,3,3,6,Medium
SURV00080,CUST00080,2025-11-15,Yes,MegaMart,ShopEase,3,2,2,2,3,Low
SURV00081,CUST00081,2025-08-13,No,ValueHub,ValueHub,4,4,4,4,8,High
SURV00082,CUST00082,2025-12-08,No,ShopEase,ShopEase,3,2,1,2,5,Low
SURV00083,CUST00083,2025-09-01,Yes,UrbanCart,NovaMart,3,2,1,2,4,Low
SURV00084,CUST00084,2025-05-18,Yes,NovaMart,MegaMart,4,4,3,4,8,High
SURV00085,CUST00085,2025-01-06,No,MegaMart,ValueHub,2,1,3,2,4,Low
SURV00086,CUST00086,2025-10-22,Yes,ValueHub,ValueHub,3,3,3,3,5,Medium
SURV00087,CUST00087,2025-06-06,Yes,NovaMart,ValueHub,3,3,3,3,7,Medium
SURV00088,CUST00088,2025-08-10,Yes,ValueHub,NovaMart,3,2,2,2,4,Low
SURV00089,CUST00089,2025-11-12,Yes,NovaMart,ShopEase,4,2,3,3,5,Medium
SURV00090,CUST00090,2025-02-18,Yes,UrbanCart,UrbanCart,4,4,4,4,9,High
SURV00091,CUST00091,2025-03-05,Yes,NovaMart,NovaMart,4,4,4,4,7,High
SURV00092,CUST00092,2025-09-09,Yes,NovaMart,ValueHub,3,2,3,3,6,Medium
SURV00093,CUST00093,2025-12-25,Yes,ShopEase,MegaMart,3,4,2,3,5,Medium
SURV00094,CUST00094,2025-09-06,Yes,UrbanCart,UrbanCart,3,2,1,2,5,Low
SURV00095,CUST00095,2025-07-14,Yes,MegaMart,ValueHub,3,3,3,3,7,Medium
SURV00096,CUST00096,2025-05-23,Yes,UrbanCart,ShopEase,5,5,5,5,9,Very High
SURV00097,CUST00097,2025-08-30,No,UrbanCart,ValueHub,3,3,2,3,7,Medium
SURV00098,CUST00098,2025-09-18,Yes,NovaMart,UrbanCart,2,1,1,1,1,Very Low
SURV00099,CUST00099,2025-07-15,Yes,NovaMart,MegaMart,4,2,3,3,5,Medium
SURV00100,CUST00100,2025-02-07,No,MegaMart,MegaMart,3,2,3,3,7,Medium
SURV00101,CUST00101,2025-03-22,No,ValueHub,NovaMart,1,1,1,1,3,Very Low
SURV00102,CUST00102,2025-11-30,Yes,MegaMart,ShopEase,4,3,2,3,5,Medium
SURV00103,CUST00103,2025-06-17,Yes,MegaMart,ShopEase,5,3,4,4,9,High
SURV00104,CUST00104,2025-11-25,Yes,ShopEase,ValueHub,4,5,5,5,9,Very High
SURV00105,CUST00105,2025-06-10,Yes,MegaMart,ValueHub,3,1,1,2,3,Low
SURV00106,CUST00106,2025-05-19,No,ShopEase,ShopEase,3,3,3,3,5,Medium
SURV00107,CUST00107,2025-02-27,No,NovaMart,MegaMart,4,3,2,3,5,Medium
SURV00108,CUST00108,2025-11-16,Yes,ValueHub,ShopEase,2,2,3,2,5,Low
SURV00109,CUST00109,2025-03-18,Yes,UrbanCart,UrbanCart,5,4,3,4,8,High
SURV00110,CUST00110,2025-12-21,Yes,UrbanCart,NovaMart,3,1,1,2,3,Low
SURV00111,CUST00111,2025-12-25,No,ValueHub,NovaMart,4,5,5,5,9,Very High
SURV00112,CUST00112,2025-12-20,Yes,UrbanCart,UrbanCart,3,2,3,3,5,Medium
SURV00113,CUST00113,2025-01-01,Yes,ValueHub,NovaMart,2,3,3,3,7,Medium
SURV00114,CUST00114,2025-05-13,Yes,NovaMart,ShopEase,3,3,2,3,7,Medium
SURV00115,CUST00115,2025-10-08,Yes,ShopEase,NovaMart,4,3,2,3,5,Medium
SURV00116,CUST00116,2025-05-09,Yes,MegaMart,MegaMart,3,1,1,2,5,Low
SURV00117,CUST00117,2025-11-20,No,ValueHub,UrbanCart,4,4,5,4,7,High
SURV00118,CUST00118,2025-05-02,No,ValueHub,MegaMart,4,3,4,4,7,High
SURV00119,CUST00119,2025-10-12,No,ShopEase,ValueHub,2,1,1,1,2,Very Low
SURV00120,CUST00120,2025-12-21,Yes,UrbanCart,ValueHub,4,4,4,4,8,High
SURV00121,CUST00121,2025-10-17,Yes,NovaMart,ShopEase,3,2,2,2,4,Low
SURV00122,CUST00122,2025-10-24,Yes,UrbanCart,ValueHub,5,4,5,5,9,Very High
SURV00123,CUST00123,2025-06-03,Yes,ValueHub,NovaMart,5,5,4,5,10,Very High
SURV00124,CUST00124,2025-09-25,Yes,UrbanCart,MegaMart,4,5,5,5,10,Very High
SURV00125,CUST00125,2025-03-12,Yes,UrbanCart,UrbanCart,4,4,4,4,8,High
SURV00126,CUST00126,2025-09-30,Yes,ShopEase,ShopEase,4,3,1,3,7,Medium
SURV00127,CUST00127,2025-05-23,Yes,NovaMart,UrbanCart,4,5,5,5,10,Very High
SURV00128,CUST00128,2025-11-14,Yes,MegaMart,ValueHub,3,3,3,3,5,Medium
SURV00129,CUST00129,2025-05-15,No,NovaMart,ShopEase,3,4,3,3,5,Medium
SURV00130,CUST00130,2025-10-13,Yes,MegaMart,NovaMart,4,3,3,3,5,Medium
SURV00131,CUST00131,2025-03-10,Yes,MegaMart,ShopEase,4,2,3,3,7,Medium
SURV00132,CUST00132,2025-07-05,Yes,ShopEase,ShopEase,1,1,1,1,1,Very Low
SURV00133,CUST00133,2025-02-11,Yes,NovaMart,ValueHub,3,3,2,3,6,Medium
SURV00134,CUST00134,2025-04-19,Yes,UrbanCart,MegaMart,4,4,3,4,8,High
SURV00135,CUST00135,2025-04-19,Yes,ShopEase,ShopEase,3,2,1,2,4,Low
SURV00136,CUST00136,2025-11-21,Yes,UrbanCart,UrbanCart,3,2,1,2,5,Low
SURV00137,CUST00137,2025-09-17,No,UrbanCart,ShopEase,3,3,2,3,5,Medium
SURV00138,CUST00138,2025-08-25,Yes,ValueHub,UrbanCart,3,3,2,3,7,Medium
SURV00139,CUST00139,2025-01-14,No,MegaMart,MegaMart,4,4,4,4,8,High
SURV00140,CUST00140,2025-03-30,No,ValueHub,NovaMart,3,4,3,3,6,Medium
SURV00141,CUST00141,2025-05-21,No,NovaMart,UrbanCart,4,4,3,4,9,High
SURV00142,CUST00142,2025-08-07,Yes,MegaMart,MegaMart,4,3,2,3,5,Medium
SURV00143,CUST00143,2025-08-19,Yes,ValueHub,ValueHub,4,2,1,2,3,Low
SURV00144,CUST00144,2025-06-06,Yes,UrbanCart,ShopEase,3,4,4,4,9,High
SURV00145,CUST00145,2025-05-06,Yes,NovaMart,ShopEase,3,4,4,4,9,High
SURV00146,CUST00146,2025-09-08,No,ShopEase,ValueHub,4,3,4,4,9,High
SURV00147,CUST00147,2025-03-25,Yes,MegaMart,ValueHub,2,1,1,1,3,Very Low
SURV00148,CUST00148,2026-01-01,Yes,NovaMart,ValueHub,4,2,3,3,6,Medium
SURV00149,CUST00149,2025-07-14,Yes,UrbanCart,ValueHub,3,1,2,2,4,Low
SURV00150,CUST00150,2025-05-31,Yes,ValueHub,MegaMart,3,2,2,2,5,Low
SURV00151,CUST00151,2025-01-04,Yes,ShopEase,MegaMart,4,4,5,4,8,High
SURV00152,CUST00152,2025-03-21,Yes,NovaMart,UrbanCart,3,3,3,3,6,Medium
SURV00153,CUST00153,2025-06-20,No,UrbanCart,ShopEase,4,3,3,3,7,Medium
SURV00154,CUST00154,2025-06-07,Yes,ValueHub,MegaMart,2,2,1,2,5,Low
SURV00155,CUST00155,2025-02-22,Yes,ValueHub,UrbanCart,4,4,4,4,9,High
SURV00156,CUST00156,2025-04-11,Yes,ValueHub,MegaMart,3,5,2,3,5,Medium
SURV00157,CUST00157,2025-12-26,Yes,ShopEase,ShopEase,3,1,3,2,4,Low
SURV00158,CUST00158,2025-01-04,Yes,ShopEase,MegaMart,5,5,4,5,9,Very High
SURV00159,CUST00159,2025-02-07,Yes,ValueHub,UrbanCart,3,2,3,3,7,Medium
SURV00160,CUST00160,2025-05-31,Yes,NovaMart,ShopEase,4,4,4,4,9,High
SURV00161,CUST00161,2025-10-21,Yes,UrbanCart,MegaMart,3,2,3,3,7,Medium
SURV00162,CUST00162,2025-07-30,Yes,ShopEase,UrbanCart,4,3,3,3,6,Medium
SURV00163,CUST00163,2025-10-17,Yes,MegaMart,ValueHub,3,3,3,3,6,Medium
SURV00164,CUST00164,2025-05-13,Yes,ShopEase,ShopEase,2,2,1,2,3,Low
SURV00165,CUST00165,2025-07-14,Yes,ShopEase,ShopEase,3,4,3,3,5,Medium
SURV00166,CUST00166,2025-03-16,Yes,ShopEase,ValueHub,4,4,3,4,9,High
SURV00167,CUST00167,2025-01-11,Yes,MegaMart,UrbanCart,2,2,2,2,3,Low
SURV00168,CUST00168,2025-03-17,Yes,ValueHub,MegaMart,1,1,1,1,3,Very Low
SURV00169,CUST00169,2025-03-14,No,MegaMart,NovaMart,2,1,2,2,5,Low
SURV00170,CUST00170,2025-04-22,Yes,ValueHub,NovaMart,4,3,4,4,8,High
SURV00171,CUST00171,2025-02-25,No,MegaMart,UrbanCart,3,3,2,3,5,Medium
SURV00172,CUST00172,2025-03-14,Yes,UrbanCart,ShopEase,3,2,2,2,4,Low
SURV00173,CUST00173,2025-06-22,Yes,UrbanCart,MegaMart,3,4,3,3,5,Medium
SURV00174,CUST00174,2025-06-06,Yes,MegaMart,ShopEase,4,3,2,3,5,Medium
SURV00175,CUST00175,2025-08-08,Yes,ShopEase,ValueHub,2,4,4,3,7,Medium
SURV00176,CUST00176,2025-11-07,Yes,ValueHub,MegaMart,3,4,4,4,8,High
SURV00177,CUST00177,2025-07-01,Yes,UrbanCart,NovaMart,3,2,1,2,5,Low
SURV00178,CUST00178,2025-01-25,Yes,MegaMart,MegaMart,5,5,3,4,8,High
SURV00179,CUST00179,2025-06-22,Yes,MegaMart,ShopEase,3,5,3,4,9,High
SURV00180,CUST00180,2025-03-03,No,UrbanCart,MegaMart,3,3,3,3,5,Medium
SURV00181,CUST00181,2025-02-28,Yes,NovaMart,MegaMart,3,3,3,3,6,Medium
SURV00182,CUST00182,2025-05-30,Yes,MegaMart,UrbanCart,2,1,1,1,2,Very Low
SURV00183,CUST00183,2025-04-11,Yes,ValueHub,ValueHub,3,3,2,3,7,Medium
SURV00184,CUST00184,2025-01-19,Yes,ValueHub,UrbanCart,3,2,2,2,3,Low
SURV00185,CUST00185,2025-05-09,No,UrbanCart,NovaMart,4,3,2,3,5,Medium
SURV00186,CUST00186,2025-02-23,Yes,UrbanCart,ValueHub,4,2,1,2,5,Low
SURV00187,CUST00187,2025-01-24,No,UrbanCart,MegaMart,2,1,1,1,1,Very Low
SURV00188,CUST00188,2025-04-11,Yes,MegaMart,UrbanCart,3,1,1,2,3,Low
SURV00189,CUST00189,2025-08-11,Yes,NovaMart,ValueHub,4,2,2,3,5,Medium
SURV00190,CUST00190,2025-08-05,Yes,MegaMart,ShopEase,4,3,2,3,7,Medium
SURV00191,CUST00191,2025-01-26,Yes,NovaMart,UrbanCart,3,3,2,3,7,Medium
SURV00192,CUST00192,2025-04-15,Yes,UrbanCart,UrbanCart,3,4,3,3,6,Medium
SURV00193,CUST00193,2025-12-12,Yes,MegaMart,ValueHub,3,2,2,2,5,Low
SURV00194,CUST00194,2025-08-18,Yes,MegaMart,ShopEase,3,4,1,3,5,Medium
SURV00195,CUST00195,2025-07-07,Yes,NovaMart,MegaMart,4,2,2,3,5,Medium
SURV00196,CUST00196,2025-10-06,Yes,ValueHub,UrbanCart,3,3,2,3,6,Medium
SURV00197,CUST00197,2025-07-09,Yes,UrbanCart,ValueHub,4,2,2,3,6,Medium
SURV00198,CUST00198,2025-07-06,Yes,UrbanCart,UrbanCart,3,2,3,3,5,Medium
SURV00199,CUST00199,2025-10-15,Yes,UrbanCart,ShopEase,3,2,2,2,5,Low
SURV00200,CUST00200,2025-07-06,No,ValueHub,NovaMart,3,3,3,3,6,Medium
SURV00201,CUST00201,2025-01-06,Yes,MegaMart,ShopEase,4,4,3,4,9,High
SURV00202,CUST00202,2025-03-25,Yes,UrbanCart,MegaMart,2,1,2,2,4,Low
SURV00203,CUST00203,2025-01-22,Yes,ValueHub,UrbanCart,4,4,4,4,9,High
SURV00204,CUST00204,2025-04-25,Yes,MegaMart,MegaMart,3,1,2,2,3,Low
SURV00205,CUST00205,2025-03-06,Yes,ValueHub,ShopEase,4,3,4,4,9,High
SURV00206,CUST00206,2025-03-30,No,NovaMart,MegaMart,3,3,2,3,5,Medium
SURV00207,CUST00207,2025-04-14,Yes,UrbanCart,NovaMart,5,2,4,4,7,High
SURV00208,CUST00208,2025-02-04,Yes,NovaMart,ValueHub,4,3,3,3,7,Medium
SURV00209,CUST00209,2025-02-12,Yes,NovaMart,ValueHub,2,1,1,1,1,Very Low
SURV00210,CUST00210,2025-01-12,Yes,MegaMart,ValueHub,4,4,3,4,8,High
SURV00211,CUST00211,2025-10-22,Yes,UrbanCart,NovaMart,3,2,3,3,5,Medium
SURV00212,CUST00212,2025-06-08,Yes,ValueHub,NovaMart,3,4,4,4,7,High
SURV00213,CUST00213,2025-04-06,Yes,ValueHub,UrbanCart,5,4,4,4,8,High
SURV00214,CUST00214,2025-03-21,Yes,MegaMart,NovaMart,4,3,3,3,6,Medium
SURV00215,CUST00215,2025-10-24,Yes,ShopEase,UrbanCart,3,3,1,2,3,Low
SURV00216,CUST00216,2025-07-31,Yes,ValueHub,MegaMart,4,3,4,4,7,High
SURV00217,CUST00217,2025-03-11,Yes,ShopEase,ValueHub,4,5,4,4,8,High
SURV00218,CUST00218,2025-06-10,Yes,NovaMart,MegaMart,4,3,2,3,6,Medium
SURV00219,CUST00219,2025-05-02,No,ValueHub,MegaMart,3,3,5,4,8,High
SURV00220,CUST00220,2025-09-26,Yes,NovaMart,MegaMart,3,2,4,3,5,Medium
SURV00221,CUST00221,2025-06-09,Yes,ShopEase,NovaMart,3,2,4,3,6,Medium
SURV00222,CUST00222,2025-09-11,No,UrbanCart,ShopEase,3,2,2,2,4,Low
SURV00223,CUST00223,2025-03-19,Yes,ShopEase,ValueHub,4,4,4,4,9,High
SURV00224,CUST00224,2025-12-01,Yes,NovaMart,UrbanCart,2,2,1,2,3,Low
SURV00225,CUST00225,2025-12-10,No,ShopEase,NovaMart,2,1,2,2,5,Low
SURV00226,CUST00226,2025-01-05,No,NovaMart,ShopEase,3,3,3,3,6,Medium
SURV00227,CUST00227,2025-06-25,Yes,MegaMart,MegaMart,3,3,3,3,7,Medium
SURV00228,CUST00228,2025-09-19,Yes,ValueHub,NovaMart,4,4,4,4,8,High
SURV00229,CUST00229,2025-07-16,Yes,ValueHub,UrbanCart,4,3,3,3,7,Medium
SURV00230,CUST00230,2025-03-28,Yes,NovaMart,UrbanCart,3,2,3,3,6,Medium
SURV00231,CUST00231,2025-05-11,Yes,NovaMart,ValueHub,3,2,4,3,6,Medium
SURV00232,CUST00232,2025-11-03,Yes,MegaMart,MegaMart,4,2,3,3,5,Medium
SURV00233,CUST00233,2025-02-09,Yes,ShopEase,UrbanCart,3,2,3,3,7,Medium
SURV00234,CUST00234,2025-12-10,Yes,UrbanCart,ShopEase,2,2,1,2,3,Low
SURV00235,CUST00235,2025-08-11,Yes,ShopEase,ValueHub,4,4,1,3,6,Medium
SURV00236,CUST00236,2025-01-16,No,MegaMart,ShopEase,4,3,1,3,6,Medium
SURV00237,CUST00237,2025-03-10,Yes,NovaMart,MegaMart,4,4,4,4,7,High
SURV00238,CUST00238,2025-09-26,Yes,MegaMart,MegaMart,3,2,2,2,5,Low
SURV00239,CUST00239,2025-04-10,No,ValueHub,ShopEase,3,2,2,2,3,Low
SURV00240,CUST00240,2025-04-06,Yes,MegaMart,MegaMart,1,1,1,1,2,Very Low
SURV00241,CUST00241,2025-03-19,Yes,ValueHub,UrbanCart,4,3,4,4,7,High
SURV00242,CUST00242,2025-07-17,No,UrbanCart,MegaMart,5,4,3,4,9,High
SURV00243,CUST00243,2025-07-31,Yes,NovaMart,UrbanCart,3,2,4,3,5,Medium
SURV00244,CUST00244,2025-03-25,No,UrbanCart,ValueHub,3,2,2,2,3,Low
SURV00245,CUST00245,2025-07-29,Yes,MegaMart,UrbanCart,4,5,3,4,8,High
SURV00246,CUST00246,2025-07-24,Yes,UrbanCart,ShopEase,3,2,2,2,4,Low
SURV00247,CUST00247,2025-02-07,Yes,ValueHub,NovaMart,3,3,4,3,6,Medium
SURV00248,CUST00248,2025-07-20,Yes,UrbanCart,MegaMart,3,4,2,3,5,Medium
SURV00249,CUST00249,2025-05-10,Yes,NovaMart,NovaMart,5,5,4,5,9,Very High
SURV00250,CUST00250,2025-06-30,Yes,NovaMart,ShopEase,3,1,1,2,3,Low
SURV00251,CUST00251,2025-09-05,Yes,ValueHub,ShopEase,4,4,4,4,9,High
SURV00252,CUST00252,2025-06-20,Yes,ValueHub,NovaMart,5,4,3,4,8,High
SURV00253,CUST00253,2025-06-19,Yes,ShopEase,NovaMart,4,3,2,3,5,Medium
SURV00254,CUST00254,2025-09-26,Yes,UrbanCart,MegaMart,3,3,3,3,7,Medium
SURV00255,CUST00255,2025-02-21,Yes,UrbanCart,UrbanCart,4,3,2,3,6,Medium
SURV00256,CUST00256,2025-08-08,Yes,UrbanCart,UrbanCart,4,4,4,4,7,High
SURV00257,CUST00257,2025-11-03,Yes,UrbanCart,UrbanCart,3,2,1,2,3,Low
SURV00258,CUST00258,2025-06-04,Yes,UrbanCart,ShopEase,3,3,4,3,6,Medium
SURV00259,CUST00259,2025-03-02,Yes,NovaMart,NovaMart,3,2,2,2,5,Low
SURV00260,CUST00260,2025-01-01,Yes,ShopEase,NovaMart,4,3,3,3,7,Medium
SURV00261,CUST00261,2025-12-19,Yes,NovaMart,ShopEase,4,3,2,3,6,Medium
SURV00262,CUST00262,2025-01-13,No,MegaMart,ValueHub,4,4,2,3,5,Medium
SURV00263,CUST00263,2025-11-24,Yes,UrbanCart,ShopEase,2,2,1,2,5,Low
SURV00264,CUST00264,2025-10-14,Yes,NovaMart,UrbanCart,3,3,4,3,6,Medium
SURV00265,CUST00265,2025-09-27,Yes,MegaMart,ShopEase,4,2,3,3,6,Medium
SURV00266,CUST00266,2025-08-26,Yes,ShopEase,ShopEase,4,4,4,4,8,High
SURV00267,CUST00267,2025-08-29,Yes,NovaMart,ValueHub,4,2,2,3,5,Medium
SURV00268,CUST00268,2025-08-07,No,ShopEase,ValueHub,4,3,3,3,5,Medium
SURV00269,CUST00269,2025-12-24,Yes,MegaMart,ValueHub,3,1,2,2,4,Low
SURV00270,CUST00270,2025-03-08,Yes,ValueHub,NovaMart,4,3,2,3,5,Medium
SURV00271,CUST00271,2025-04-10,Yes,ValueHub,UrbanCart,4,4,4,4,9,High
SURV00272,CUST00272,2025-04-04,Yes,MegaMart,ValueHub,3,3,4,3,7,Medium
SURV00273,CUST00273,2025-06-13,Yes,NovaMart,ShopEase,2,1,2,2,4,Low
SURV00274,CUST00274,2025-04-08,Yes,NovaMart,UrbanCart,2,1,2,2,5,Low
SURV00275,CUST00275,2025-10-22,No,ValueHub,MegaMart,5,3,3,4,7,High
SURV00276,CUST00276,2025-04-12,No,ValueHub,MegaMart,3,3,3,3,6,Medium
SURV00277,CUST00277,2025-03-19,Yes,ShopEase,ShopEase,3,3,2,3,6,Medium
SURV00278,CUST00278,2025-10-21,No,MegaMart,UrbanCart,4,4,4,4,7,High
SURV00279,CUST00279,2025-02-21,Yes,ShopEase,UrbanCart,2,2,1,2,5,Low
SURV00280,CUST00280,2025-10-31,Yes,ValueHub,NovaMart,4,2,3,3,6,Medium
SURV00281,CUST00281,2025-06-03,Yes,UrbanCart,ShopEase,3,3,2,3,6,Medium
SURV00282,CUST00282,2025-07-28,Yes,MegaMart,NovaMart,3,2,3,3,7,Medium
SURV00283,CUST00283,2025-12-16,Yes,NovaMart,ShopEase,2,2,2,2,4,Low
SURV00284,CUST00284,2025-07-26,No,UrbanCart,MegaMart,4,4,4,4,9,High
SURV00285,CUST00285,2025-02-03,Yes,MegaMart,NovaMart,3,2,4,3,5,Medium
